Category,Rule ID,Severity,Description,How To Check,Auto-Fix,Warning Message
SQL Injection,SEC-001,CRITICAL,User input passed directly to Prisma $queryRaw without parameterization,"grep -rn '\$queryRaw\|$executeRaw' app/ src/ --include='*.ts'",Yes – replace with Prisma parameterized query: prisma.$queryRaw`SELECT * FROM users WHERE id = ${userId}`,CRITICAL: SQL Injection risk — raw user input in DB query
XSS,SEC-002,CRITICAL,User-submitted HTML rendered without sanitization,"grep -rn 'dangerouslySetInnerHTML' app/ src/ --include='*.tsx'",Yes – wrap content with DOMPurify.sanitize() before setting innerHTML,CRITICAL: XSS risk — unsanitized HTML rendered via dangerouslySetInnerHTML
CSRF,SEC-003,HIGH,Route Handler mutation (POST/PUT/DELETE) missing Origin/Host header validation,"grep -rn 'export async function POST\|export async function DELETE\|export async function PUT' app/api/ --include='*.ts'",Warning only – add Origin header check or migrate to Server Actions (CSRF protected by default),HIGH: CSRF risk — Route Handler mutation may lack origin validation
API Response Hardening,SEC-004,HIGH,Route Handler returns raw error object or stack trace in response,"grep -rn 'catch.*error.*NextResponse\|catch.*e.*json(e)' app/api/ --include='*.ts'",Yes – wrap in apiError() helper and log with console.error,HIGH: Stack trace exposed in API response
API Response Hardening,SEC-005,HIGH,Route Handler missing explicit Content-Type (NextResponse.json handles this automatically — check for manual Response usage),"grep -rn 'new Response(' app/api/ --include='*.ts'",Yes – replace new Response() with NextResponse.json(),HIGH: Manual Response() may be missing Content-Type header
Authentication,SEC-006,HIGH,Route Handler or Server Action accessible without auth check,"grep -rn 'export async function GET\|export async function POST' app/api/ -A5 --include='*.ts' | grep -v 'getServerSession\|auth()\|getToken'",Warning only – add auth guard: const session = await getServerSession(authOptions),HIGH: Unauthenticated access to sensitive route handler
Authorization,SEC-007,HIGH,User can access/modify resources owned by other users (IDOR),"Check Prisma queries for missing where: { userId: session.user.id } on user-scoped resources",Warning only – flag for manual review,HIGH: Possible IDOR — resource not scoped to current user
File Upload,SEC-008,HIGH,File upload without MIME type validation or size limit,"grep -rn 'formData\|file\|upload' app/api/ --include='*.ts' | grep -v 'type\|size\|maxSize'",Warning only – add allowedTypes whitelist + maxSize check,HIGH: File upload missing validation — potential RCE or storage abuse
Sensitive Data Exposure,SEC-009,HIGH,Passwords or secrets hardcoded in source or committed .env,"grep -rn 'password\s*=\s*[""''][a-zA-Z0-9]\|secret\s*=\s*[""'']' app/ src/ --include='*.ts'",Warning only – move to .env.local (never commit),HIGH: Possible hardcoded secret in source code
Open Redirect,SEC-010,MEDIUM,redirect() using unvalidated user input,"grep -rn 'redirect(req\|redirect(searchParams\|redirect(params' app/ src/ --include='*.ts'",Yes – validate against whitelist of allowed paths,MEDIUM: Open redirect — user-controlled redirect target
Rate Limiting,SEC-011,MEDIUM,Public API / login / comment route handler missing rate limiting,"Check app/api/auth/ and public mutation handlers for upstash/ratelimit or similar",Warning only – add rate limiting middleware or upstash/ratelimit,MEDIUM: No rate limiting on public/sensitive route handler
Security Headers,SEC-012,MEDIUM,Missing HTTP security headers (CSP / X-Frame-Options / HSTS etc.),"Check next.config.js for headers() configuration",Yes – add headers in next.config.js headers() function,MEDIUM: Missing security headers in next.config.js
Directory Traversal,SEC-013,MEDIUM,File path built from user input without sanitization,"grep -rn 'path.join.*req\|readFile.*param\|readFile.*query' app/ src/ --include='*.ts'",Yes – use path.basename() + whitelist check,MEDIUM: Directory traversal risk — user input in file path
Debug/Info Leakage,SEC-014,LOW,NODE_ENV=development or debug flags active in production,"Check .env.production: NODE_ENV=production / next.config.js for debug flags",Warning only – ensure NODE_ENV=production in deployment,LOW: Debug mode may be enabled in production
Insecure Cookies,SEC-015,LOW,Session/auth cookies missing Secure / HttpOnly / SameSite flags,"Check next-auth config: cookies option or inspect Set-Cookie header",Yes – set secure: true / httpOnly: true / sameSite: 'lax' in auth config,LOW: Auth cookie not hardened (missing Secure/HttpOnly/SameSite)
Environment Variables,SEC-016,HIGH,Client-side code accesses secret env vars (NEXT_PUBLIC_ prefix only for public vars),"grep -rn 'process.env\.' app/ src/ --include='*.tsx' | grep -v 'NEXT_PUBLIC_'",Warning only – ensure secret vars are only used in server-side code,HIGH: Secret environment variable may be exposed to client bundle
