Section,Category,Rule,Detail
LAYOUT,Theming,Use data-theme='light' | 'dark' on html element,Supports Light/Dark/Auto modes
LAYOUT,Variables,Use --surface-0 --text-primary etc.,CSS variables defined in index.css
LAYOUT,Sidebar,w-64 flex flex-col bg-linear gradient,Glassmorphism with distinct active state
LAYOUT,Active Item,1px transparent border by default -> color on active,Prevent layout jump (1px shift)
LAYOUT,Transition,all 0.4s cubic-bezier(0.4 0 0.2 1),Smooth Sidebar and Page transitions
COMPONENT,Typing,Strict props interface + React.FC,Focus on TypeScript integrity
COMPONENT,Naming,PascalCase components / kebab-case files,Settings.tsx or CampaignPage.tsx
COMPONENT,Reuse,Extract IPC logic to @/lib/api.ts,Centralized window.api calls
COMPONENT,Popups,Custom Lucide-based Modals / SetupPrompt,FORBIDDEN: window.alert() / window.confirm()
COMPONENT,Icons,Lucide-React with consistent strokeWidth,Standardize icon appearance
COMPONENT,Theming,Support Light/Dark for all custom components,Check contrast in both modes
CRUD LIST,Table,Compact rows with hover:bg-surface-2,Admin-style data density
CRUD LIST,Status,Database status badge in Sidebar,Real-time connectivity feedback
CRUD EDIT,Theming,Toggle buttons for Theme (Sun/Moon/Monitor),Visual feedback for active theme
STATE,Zustand,Zustand for UI persistence + IPC data caching,Reactive state management
STATE,Hydration,Load theme & DB status from IPC on app startup,Sync Main process state to Renderer
API,Bridge,ONLY Use window.api.invoke() for Main process talk,Context isolation requirement
API,Safety,Await IPC results + try/catch wrapped in handlers,Standard async error handling
API,Channels,Use namespace:action naming for IPC channels,Example: db:connect | ai:save-config
API,Masking,API keys should be masked in UI before display,Safety: store real keys in raw state
TYPING,TypeScript,Define Interface for every IPC response,interface DBConfig { host: string }
TYPING,Check,Run npx tsc before code completion,Type integrity gate
UTILS,Common,@/lib/utils.ts for tailwind-merge and formatters,Pure utility functions
UTILS,Theming,matchMedia('(prefers-color-scheme: dark)') for Auto mode,Sync with system appearance
OPTIMIZE,Transitions,FadeIn animation for all page transitions,Premium feel (0.4s duration)
OPTIMIZE,Layout,Always keep border width constant (1px),Avoid "shaky" UI on hover
OPTIMIZE,Cleanup,Remove console.log before task completion,Clean production output
OPTIMIZE,Build,yarn build must pass with zero issues,Final quality gate
